NAMES,MEANING,GENDER
aabavaanan,implies a person who is responsible and reliable,Boy
aabha,Glow; Splendour; Light; Brilliance; Bright and Radiant; Glorious,Girl
aabharan,"means jewel, a variant form of name Abharan which means jewel in Sanskrit",Boy
aabhas,"Sense or Feelings, has a Sanskrit meaning as realization",Boy
aabhass,Awareness; A variant name of Abhas which means realization,Boy
aabhavannan,Light; also means torch bearer who brings light,Boy
aabheer,"means a Cow-herd in Sanskrit, it also means one who is fearless",Boy
aabher,means a Cow-herd and is variant form of name Aabheer,Boy
aachalendra,"The word aachalendra means Himalayas, it signifies the person to be strong, Unchallengeable",Boy
aacharappan,Restless or Proactive,Boy
aacharya,means Learned Teacher; a variant of Sanskrit name Acharya; Another Name of Drona,Boy
aachman,Intake of a Sip of Water Before a Yagya or Puja,Boy
aachuthan,another name of Hindu Lord Krishna,Boy
aad,aad in Islams means 'The man' and on the other hand in Sikhs it's a girl name meaning In the beginning,Unisex
aadab,Name aadab has a meaning of Hope and need. The person who brings hope to the family,Girl
aadalarasan,means Attraction; one who attracts with his dance; It also represents one of many Lord Shiva's name in Tamil,Boy
aadalarasu,means King of Dance in Tamil; represents Lord Shiva's name as Nataraja who is considered the Lord of Dance,Boy
aadarsh,"means one who has principles in Sanskrit, ideal man; a variant form of name Adarsh",Boy
aadarsha,"one who is ideal, optimal, and perfect",Girl
aaddhar,"Foundation, Ground work of anything, Base of Life",Boy
aadeep,"Light, Spiritual Illumination, A source of radiance",Boy
aadesh,Command; Message; means instruction in Sanskrit,Boy
aadeshwar,"aadeshwar is a south indian name that means God, or the won who is in a high position of authority",Boy
aadh,aadh as a word means Half,Girl
aadhan,Be First,Boy
aadhar,Base; A variant of Sanskrit name Aaddhar,Boy
aadhav,Ruler - a person who rules or governs,Boy
aadhavan,"Sun; Brilliant Like the Sun; Lord Vishnu, A variant of name Aadavan",Boy
aadhikara,"Lord Shiva, A variant of Sanskrit name Adhikara which means Principal",Boy
aadhikesavan,One who is Ideal for Others,Boy
aadhimulam,"One who is beginning of Everything, Source cause of everything",Boy
aadhinarayanan,The First God; A name form of Lord Vishnu,Boy
aadhira,"Moon, To sentimentalize and remember nostalgically",Girl
aadhirai,A Special Star,Girl
aadhiseshan,Any One; it is also considered as one of many names of Lord Vishnu,Boy
aadhish,"King, Emperor, Ruler, Person with supreme power",Boy
aadhishankar,Sri Shankaracharya; Founder of Adwaitha Philosophy ; A name formed after Lord Shiva as Shankar,Boy
aadhunik,Modern; New; Latest; a name variant of Adhunik,Boy
aadhya,The first power; the beginning; another name of Goddess Durga,Girl
aadi,"First; Most Important,Beginning; Starting; Source form of life",Boy
aadijay,The First Victory ; Success;,Boy
aadimoola,Supreme Being ; A variant of name Aadimoolan,Boy
aadinath,God; Supreme Ruler of the Universe; The First God,Boy
aadipta,"Bright, Intelligent, Radiant, Luminous, Glorious",Boy
aadir,Origin; Beginning; Point of space or time where anything begins; Source,Boy
aadish,"Full of Wisdom; Intelligent, Knowledgeable, Noble",Boy
aadishankar,Shrishankaracharya; The Founder of Adwaitha Philosophy,Boy
aadishwar,Aadishwar; Bhagvan; Supreme God; First Jain Tirthankara,Boy
aadit,Peak; Shade; Sheltered; Bright; Radiant; Illuminate,Boy
aaditey,Son of Aditi ; refers to being son of the Earth or son of Mother of God,Boy
aaditeya,Son of Aditi ; refers to being son of the Earth or son of Mother of God,Boy
aadithya,The Sun ; a variant name is Aaditva,Boy
aaditva,The Sun ; A derivative name from name Aadithya,Boy
aadiv,Delicate; sensitive; mindful to feelings of others,Boy
aadiyapadham,One who is Very Active or Quick,Boy
aadrita,Lots of Love Gathering; adorable; Charming; very likable for attractiveness,Girl
aadvay,Unique; unparalleled; exclusive; having no like or equal,Boy
aafiya,the person who has a very sound body and health,Boy
aaftab,the name means sunlight or the Sun,Boy
aagam,Coming; Arrival ; Holy Jain Scripture; To inherit; To acquire,Girl
aaghnya,"the name has a meaning of someone born from fire, it is also the name of Goddess laxmi",Girl
aagman,Arrival ; Welcome; Warmly received,Boy
aagney,Child of Flames; Son of the Fire God ; A variant name is Aagneya,Boy
aagneya,Child of Flames; Son of Agni; Son of the Fire ; Derivative of name Aagney,Boy
aagyey,Unknown; meaning something unexplored or not discovered,Boy
aahan,Iron; Sword ; symbol of military power; inflexible and unrelenting power,Boy
aahir,Dazzling; Brilliant; To impress deeply; Sparkling; Glittering,Boy
aahish,Blessing of God,Boy
aahlaad,Delight; To have great pleasure; someone who gives joy and enjoyment,Boy
aahlaadith,Joyous Person ; A variant of name Aahlaad which means Delight,Boy
aahna,Exist; to live; Survive; life,Girl
aahnik,Prayer; an object of worship; Devote to God; act of praying to God,Boy
aahva,Beloved; one who is greatly loved; Dear to heart,Boy
aahwaanith,One who has Been Invited; Wanted; Something desired; wish,Boy
aaish,God Blessings; bestowment by God,Boy
aakaar,Shape;to evolve; to develop; A variant of name Akar,Boy
aakaash,Sky,Boy
aakanksh,Desire; Wish; Crave; Longing,Boy
aakar,"Shape, To Form, To Materialize; to evolve; to develop; A variant of name Akar",Boy
aakarsh,Attraction; Beauty; Charm; allurement; Fascinating; Enticing,Boy
aakarshan,Attraction; Beauty; Charm; allurement; Fascinating; Enticing,Boy
aakash,The Sky,Boy
aakashdeep,The Sky; Vast Like the Sky,Boy
aakav,"Shape, To Form, To Materialize; to evolve; to develop; A variant of name Akar",Boy
aakesh,Sky ; A variant of Aakash,Boy
aakhyaan,Legend; Story of Famous Person inscription,Boy
aakil,Intelligent; Smart; Clever; Wise,Boy
aakriti,"Shape, To Form, To Materialize; to evolve; to develop ; A derivative from name Akar",Boy
aalambi,Continuer,Boy
aalap,"Musical Prelude, Conversation, Prelude to a raga; Skilled in music",Boy
aalekh,Learned; One of many names of Lord Shiva; to become informed; gain knowledge,Boy
aalhad,Joy; Happiness; Good Fortune; Pleasure; Be glad; Rejoice,Boy
aalok,"Light, Bright; be illuminated; Radiating",Boy
aaludaiperumal,Explorer of the Sea; Name in devotion of Lord Vishnu,Boy
aamani,Spring season; Vasanth Ritu; Season of Flowers; Pleasant Early morning surroundings,Girl
aamir,"Populous, Full Prosperous, Amply Settled; Civilise",Boy
aamish,The meaning of this name is the one full of enjoyment this also means food or meat,Boy
aamod,"Pleasure, Pleasant, Accept; Be glad; Rejoice",Boy
aanan,Appearance; Face; Countenance; Approval; Permit ; Moral Support,Boy
aanand,Joy Or Bliss; Happiness; Delight; Pleasure; Good Fortune; Contentment of Joy,Boy
aanandaprakash,Wild Wind,Boy
aanandswarup,full of joy; Filled with Happiness; Delight; Pleasure;,Boy
aanat,One who is humble and very courteous,Boy
aanav,Humane; pertaining to life qualities,Boy
aanay,Aanay is another name of Lord Ganesha.,Boy
aanchal,Protective shelter; Refuge; Safe haven; Sanctuary,Girl
aandaleeb,the bulbul bird,Boy
aangsuman,Sun Rays ; Brightness of the Sun; Radiance from the Sun,Boy
aanick,Atom; smallest source of existence,Boy
aanjaney,Lord Hanuman,Boy
aanjaneya,Son of Anjani; Refers to Lord Hanuman,Boy
aanjay,Unconquerable; being victorious; Win; Gain,Boy
aansh,Portion; Allotment by God; Inherited,Boy
aapal,Regard; sentiment of affection; esteem; respect,Boy
aapt,"trustworthy, Friend; Believing; Faithful; Reliable",Boy
aaquid,One who Seeks the Right Direction; One who Promises;,Boy
aar,one who brings light; It is an abbreviated form of Aarav,Boy
aaraadhak,Worshipper ; A variant form of Aaradhak,Boy
aarab,the one very capacious and powerful,Boy
aaradhak,worshipper of God ; A Variant name of Aaraadhak,Boy
aaradhana,Worship; Reverence; Adoration; Devotion; Adulation; Respect; An act of glorifying God,Girl
aaradhay,Regard; sentiment of affection; esteem; respect,Boy
aaradhaya,Regard; sentiment of affection; esteem; respect,Girl
aaradhy,Adorable; Charming; Very attractive; Delightful,Boy
aaradhya,To be worshipped; To be accomplished; To be made favorable; To be adored and respected,Girl
aaral,the one as beautiful as a flower,Girl
aaranay,"means Wild Forest; it signifies fertility, abundance, plentiful, greenery, generosity",Boy
aaranyan,means Forest; signifies wild greenery,Boy
aarav,"Peaceful, Ray; Hope; Radiating Light; Sanskrit: ""peaceful,"" ""melodious sound""",Boy
aarhant,Protector from Enemies; A gaurdian,Boy
aariketh,Ganesh ; God of Knowledge and Wisdom representing Lord Ganesh,Boy
aarish,First Ray of Sun;,Boy
aarit,One who Seeks the Right Direction; Correct Path;,Boy
aariv,King of Wisdom ; Knowledge; Intelligence,Boy
aarjav,One who is steadfast in Happiness and Sorrow,Boy
aarman,Desire; Awesome; Crave; Want; Wish,Boy
aarnav,"Ocean, Sea; Deepest sea; A variant of Arnav",Boy
aarnes,Red Silk ; Finest like the silk,Boy
aaroha,Always Ascending ; One who always arises and never falls,Boy
aarpan,Giving Away; offering ; To donate,Boy
aarpit,To Donate; Giving away; offering,Girl
aarsh,Crown; To gloat; With regal dignity and power,Boy
aarshabh,An Another Name of Lord Sri Krishna,Boy
aarshin,Pious; Sacred; Religious Devotion,Boy
aarth,The meaning; Red Glimpse; God; Supreme Being; Creator,Boy
aarumugham,Another Tamil Name for God Murugan; The God with 6 faces,Boy
aarumughasami,God Murugan; The God with 6 faces,Boy
aarunya,"Sunshine, First rays of the sun; Radiance or Brightness of the sun",Boy
aarurdoss,One who is in Everyone; present in everyone's life,Boy
aarush,First Ray of Sun; Sunshine; Radiance or Brightness of the sun,Boy
aarushi,"First rays of the sun; Bright, Brilliant and Radiant rays of Sun; Early morning Sunshine",Girl
aaryaman,"Bosom Friend, Play fellow, Companion; Name of one of the old vedic deitie",Boy
aaryan,Kind Hearted; Good to Others; Illustrious; Glorious; Renowned,Girl
aaryanna,Powerful & complete who renowned by Lord,Girl
aaryash,Brilliant; Intelligent,Boy
aaryav,Noble Person; Wise and Knowledgeable,Boy
aaryavir,Brave Man ; Courageous Person; Fearless man,Boy
aaryesh,King of Arya,Boy
aarzoo,Wish; Desire; Want; Crave,Boy
